Name,Latitude,Longitude,Number of Reviews,Address,Rating,Estratos,average_inc_us,Types_str,city,main_street,Reviews within 150m,people_per_stratum,avg_people_per_household,population_density,Entertainment,Finance,Food,Health,Shopping
Servientrega industriales Oficina Principal,6.2202633,-75.57581549999999,2828,"Cra. 48 # 18 - 47, El Poblado, Medellín, El Poblado, Medellín, Antioquia",3.8,6,1295.3598,"finance,post_office,store,health,food",Medellin,1,154,10000,2.3,7,0,4,4,4,5
Servientrega Dirección General,4.610147899999999,-74.10293709999999,1155,"Cl. 6 #34a-11, Bogotá",4.0,3,479.3824,"finance,food,hospital,health,sublocality_level_1",Bogota,1,476,1500000,3.3,3127,0,4,4,8,0
SERVIENTREGA,3.4601111,-76.5286948,124,"Av. 4 Nte. #19N-26, San Vicente, Cali, Valle del Cauca",3.2,4,785.2492,"spa,lodging,food,furniture_store,home_goods_store",Cali,0,4271,200000,3.0,264,0,0,4,0,10
Servientrega Acopio Cra 15 Punto directo,3.4453937,-76.51424240000001,122,"Cra. 15 # 30 a 35, Comuna 8, Cali, Valle del Cauca",3.6,3,479.3824,"store,pharmacy,health,atm,finance",Cali,1,329,500000,3.3,726,0,4,0,8,5
Servientrega Aeropuerto El Dorado,4.69328,-74.13129599999999,109,"Ac. 26 #22, Bogotá",3.7,3,479.3824,"post_office,finance,store,moving_company,airport",Bogota,1,157,1500000,3.3,3127,0,4,0,0,5
Servientrega Home Center Los Molinos,6.233524999999999,-75.60458,106,"Cl. 32 #82, Medellín, Belén, Medellín, Antioquia",4.1,4,785.2492,"shopping_mall,park,food,store,clothing_store",Medellin,1,21409,300000,3.0,283,2,0,4,0,15
Servientrega Buenos Aires,6.2430954,-75.5580507,103,"Cl. 49 #36-40, Medellín, Buenos Aires, Medellín, Antioquia",3.6,3,479.3824,"lodging,post_office,finance,bank,florist",Medellin,0,1214,700000,3.3,707,0,4,0,0,0
Servientrega,3.4507861,-76.53194479999999,91,"Cra 6, esquina Calle 12 #11 - 69, COMUNA 3, Cali, Valle del Cauca",4.5,2,286.8876,"bar,lodging,food,lawyer,finance",Cali,0,1053,1100000,3.5,1694,2,4,4,0,0
SERVIENTREGA,3.4140575,-76.53293029999999,90,"Local 102, Cl. 13 #44-26, Cali, Valle del Cauca",3.6,3,479.3824,"pharmacy,health,store,electronics_store,drugstore",Cali,1,1828,500000,3.3,726,0,0,0,8,10
Servientrega Kennedy,4.623409,-74.1524562,83,"Cl. 37 Sur #78 H - 28, Kennedy, Bogotá, Cundinamarca",3.7,2,286.8876,"clothing_store,store,finance,school,home_goods_store",Bogota,1,1392,2800000,3.5,6191,0,4,0,0,15
Servientrega La Setenta,6.245317,-75.58981419999999,79,"Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",4.2,5,933.3508,"pharmacy,health,store,lodging,post_office",Medellin,0,3061,100000,2.7,81,0,0,0,8,5
Servientrega Unicentro,4.699758,-74.043302,60,"Cra. 15 #119-57, Usaquén, Bogotá, Cundinamarca",3.8,2,286.8876,"bar,food,clothing_store,store,real_estate_agency",Bogota,0,888,2800000,3.5,6191,2,4,4,0,10
Servientrega El Rodeo (Carulla Cristo rey),6.2051826,-75.5879253,58,"Calle 6 #52-92, Guayabal, Medellín, Guayabal, Medellín, Antioquia",4.2,2,286.8876,"finance,food,clothing_store,store,general_contractor",Medellin,1,1472,1100000,3.5,1146,0,4,4,0,10
Servientrega Siete De Agosto Cra 24,4.658138999999999,-74.070441,57,"Cra. 24 #66-45, Barrios Unidos, Bogotá, Cundinamarca",3.4,2,286.8876,"shopping_mall,lodging,finance,clothing_store,store",Bogota,1,1063,2800000,3.5,6191,0,4,0,0,15
Servientrega - Efecty,3.3695669,-76.52909939999999,53,"Centro Comercial Jardin Plaza, Dentro del Supermercado Jumbo, Cl. 16 #16-200, San Joaquin, Cali, Valle del Cauca",3.5,6,1295.3598,"meal_takeaway,food,clothing_store,store,bank",Cali,1,8412,10000,2.3,10,0,0,4,0,10
